card,effect
"Morphtronics, Scramble!","Activate only when your opponent declares a direct attack while you control no monsters. Negate the attack and Special Summon 1 ""Morphtronic"" monster from your hand."
Mosaic Manticore,"During the Standby Phase of your next turn after you Tribute Summoned this face-up card on the field: Special Summon, from the Graveyard, as many monster(s) as possible that were used for its Tribute Summon. They cannot declare an attack, and their effects are negated."
Mother Grizzly,"When this card is destroyed by battle and sent to the Graveyard: You can Special Summon 1 WATER monster with 1500 or less ATK from your Deck, in face-up Attack Position."
Mother Spider,"If you have only Insect-Type monsters in your Graveyard, you can send 2 face-up Defense Position monsters your opponent controls to the Graveyard and Special Summon this card from your hand."
Motivating Captain,"When this card is Normal Summoned: You can target 1 Level 4 or lower monster in your GY; Special Summon it in Defense Position, but it has its effects negated."
Moulinglacia the Elemental Lord,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by having exactly 5 WATER monsters in your Graveyard, and cannot be Special Summoned by other ways. When this card is Special Summoned: Discard 2 random cards from your opponent's hand (or their entire hand, if less than 2). You can only use the effect of ""Moulinglacia the Elemental Lord"" once per turn. If this card leaves the field, skip the Battle Phase of your next turn."
Mound of the Bound Creator,Level 10 or higher monsters on the field cannot be targeted or destroyed by card effects. If a Level 10 or higher monster on the field destroys a monster by battle and sends it to the Graveyard: The player who controlled the destroyed monster takes 1000 damage. When this card on the field is destroyed by a card effect and sent to the Graveyard: You can add 1 DIVINE monster from your Deck to your hand.
Mount Sylvania,"You can send 1 Plant-Type monster from your hand or face-up from your side of the field to the Graveyard; choose 1 ""Sylvan"" card from your Deck and place it on top of the Deck. You can only use this effect of ""Mount Sylvania"" once per turn. Once per turn, during your opponent's End Phase: You can excavate the top card of your Deck, and if it is a Plant-Type monster, send it to the Graveyard. Otherwise, place it on either the top or bottom of your Deck."
Mountain,"Increase the ATK and DEF of all Dragon, Winged Beast, and Thunder-Type monsters by 200 points."
Mountain Warrior,A tough warrior that can move smoothly on even the roughest terrain.
Mozarta the Melodious Maestra,"Once per turn: You can Special Summon 1 LIGHT Fairy-Type monster from your hand. You cannot Special Summon other monsters the turn you activate this effect, except for LIGHT monsters."
Mr. Volcano,This seemingly mild-mannered creature has an extremely volatile temper.
Ms. Judge,"If an opponent's card effect activates, before resolving that effect, toss a coin twice, and if the result is 2 Heads, negate that effect. You can only use this effect of ""Ms. Judge"" once per turn."
Mucus Yolk,"This card may attack your opponent's Life Points directly. Each time this card inflicts Battle Damage to your opponent's Life Points, increase the ATK of this card by 1000 points during your next Standby Phase. The ATK increase lasts as long as this card remains face-up on the field."
Muddy Mudragon,"1 Tuner + 1+ non-Tuner monsters
This card can be used as a substitute for any 1 Fusion Material whose name is specifically listed on the Fusion Monster Card, but the other Fusion Material(s) must be correct. During your Main Phase, if you control this Synchro Summoned card: You can Fusion Summon 1 Fusion Monster from your Extra Deck, using monsters you control as Fusion Material, including this card. You can only use this effect of ""Muddy Mudragon"" once per turn."
Mudora,This card gains 200 ATK for each Fairy-Type monster in your Graveyard.
Mudragon of the Swamp,"2 monsters with the same Attribute but different Types
Your opponent cannot target this card, or monsters on the field with the same Attribute as this card, with card effects. Once per turn (Quick Effect): You can declare 1 Attribute; this card becomes that Attribute until the end of this turn."
Muka Muka,This card gains 300 ATK and DEF for each card in your hand.
Muko,Activate only when an effect of drawing card(s) is activated. Both players see the cards drawn by the effect and discard them all to the Graveyard.
Multi Token,"Special Summoned with the effect of ""Lord British Space Fighter""."
Multiple Destruction,"If both players have 3 or more cards in their hand: Each player places their entire hand on the bottom of the Deck in any order, also you lose LP equal to the total number of cards returned to the Deck by this effect x 300 (min. 1), then each player draws 5 cards. You can only activate 1 ""Multiple Destruction"" per turn."
Multiple Piece Golem,"""Big Piece Golem"" + ""Medium Piece Golem""
At the end of the Battle Phase, if this card attacked or was attacked, you can return it to the Extra Deck. Then, if all of the Fusion Material Monsters that were used for the Fusion Summon of this card are in your Graveyard, you can Special Summon them."
Multiplication of Ants,"Tribute 1 Insect-Type Monster on your side of the field. Special Summon 2 ""Army Ant Tokens"" (Insect-Type/EARTH/Level 4/ATK 500/DEF 1200) on your side of the field. The tokens cannot be used as a Tribute for a Tribute Summon."
Multiply,"Tribute 1 face-up ""Kuriboh""; Special Summon as many ""Kuriboh Tokens"" (Fiend-Type/DARK/Level 1/ATK 300/DEF 200) as possible, in Defense Position. These Tokens cannot be Tributed for a Tribute Summon."
Murmur of the Forest,"Target 1 face-up monster your opponent controls; change that target to face-down Defense Position, then you can return all Field Spell Cards on the field to the hand."
Musakani Magatama,"When your opponent activates a Spell Card, Trap Card, or monster effect that destroys a card(s), while you control a face-up ""Six Samurai"" monster: Negate the activation, and if you do, destroy it."
Muscle Medic,"If a player would take damage from a battle involving this card, they gain that much LP, instead."
Muse-A,A fairy of the arts that is unbeatable on the harp.
Mushroom Man,"Found in humid regions, this creature attacks enemies with a lethal rain of poison spores."
Mushroom Man #2,A player controlling this monster loses 300 Life Points during each of his/her Standby Phases when this card is face-up on the field. Control of this card is shifted to your opponent by paying 500 Life Points at your own End Phase.
Musician King,"""Witch of the Black Forest"" + ""Lady of Faith"""
Mustering of the Dark Scorpions,"If you control a face-up ""Don Zaloog"": You can Special Summon any number of ""Dark Scorpion"" monsters from your hand, but only 1 copy of each."
"Musto, Oracle of Gusto","Once per turn: You can target 1 ""Gusto"" monster in your Graveyard and 1 face-up monster on the field; shuffle the first target into the Deck, and if you do, negate the second target's effects until the End Phase."
Mutant Mindmaster,"When this card declares an attack, you can take control of 1 face-up Attack Position monster your opponent controls, and attack with it instead of this monster. It cannot attack your opponent directly. Return it to your opponent at the end of the Battle Phase."
Muzurhythm the String Djinn,"2 Level 3 monsters
When a ""Djinn"" Xyz Monster you control is attacking an opponent's monster, during the Damage Step: You can detach 1 Xyz Material from this card; the attacking monster's ATK is doubled until the End Phase. You can only use this effect of ""Muzurhythm the String Djinn"" once per turn."
My Body as a Shield,"When your opponent activates a Spell/Trap Card or monster effect that would destroy a monster(s) on the field (except during the Damage Step): Pay 1500 LP; negate the activation, and if you do, destroy it."
Mysterious Guard,"FLIP: Target 1 face-up monster on the field, and if you control a face-up Warrior-Type monster, you can target 1 additional face-up monster on the field; return the first target to the top of the Deck, then return the additional target (if any) to the hand if you still control a face-up Warrior-Type monster."
Mysterious Puppeteer,"Each time you or your opponent Normal Summons or Flip Summons a monster, increase your Life Points by 500 points."
Mysterious Triangle,"Destroy 1 monster on the field with an A-Counter. Then, you can Special Summon 1 Level 4 ""Alien"" monster from your Deck. Destroy it during the End Phase."
Mystery Hand,This monster twists reality and reaches between dimensions to attack its enemies.
Mystery Shell Dragon,"Mysterious living matter that suddenly appeared from a different dimension. Its attack paralyzes the target's nerves, and causes intense hallucinations."
Mystic Box,"Target 1 monster your opponent controls and 1 monster you control; destroy the first target, then give control of the second target to your opponent."
Mystic Clown,Nothing can stop the mad attack of this powerful creature.
Mystic Horseman,"Half man and half horse, this monster is known for its extreme speed."
Mystic Lamp,This monster can attack your opponent's Life Points directly.
Mystic Macrocarpa Seed,"Cannot be used as a Synchro Material Monster, except for the Synchro Summon of an EARTH monster. You can target 1 EARTH monster on the field; reduce its Level by 1. You can use the effect of ""Mystic Macrocarpa Seed"" up to twice per turn."
Mystic Mine,"If your opponent controls more monsters than you do, your opponent cannot activate monster effects or declare an attack. If you control more monsters than your opponent does, you cannot activate monster effects or declare an attack. Once per turn, during the End Phase, if both players control the same number of monsters: Destroy this card."
Mystic Piper,"You can Tribute this card to draw and reveal 1 card. If that card is a Level 1 Monster Card, draw 1 more card. The effect of ""Mystic Piper"" can only be activated once per turn."
Mystic Plasma Zone,Increase the ATK of all DARK monsters by 500 points and decreases their DEF by 400 points.
Mystic Probe,You can only activate this card when a Continuous Spell Card is activated. Negate all Continuous Spell Cards during the turn this card is activated.
Mystic Swordsman LV2,"At the start of the Damage Step, if this card attacked a face-down Defense Position monster: Destroy that monster. During the End Phase, if this card destroyed a monster by battle this turn: You can send this face-up card to the Graveyard; Special Summon 1 ""Mystic Swordsman LV4"" from your hand or Deck."
Mystic Swordsman LV4,"Cannot be Normal Summoned (but can be Normal Set). At the start of the Damage Step, if this card attacked a face-down Defense Position monster: Destroy that monster. During the End Phase, if this card destroyed a monster by battle this turn: You can send this face-up card to the Graveyard; Special Summon 1 ""Mystic Swordsman LV6"" from your hand or Deck."
Mystic Swordsman LV6,"Cannot be Normal Summoned (but can be Normal Set). At the start of the Damage Step, if this card attacked a face-down Defense Position monster: Destroy that monster, and if you do, you can place it on top of your opponent's Deck instead of sending it to the Graveyard."
Mystic Tomato,"When this card is destroyed by battle and sent to the Graveyard: You can Special Summon 1 DARK monster with 1500 or less ATK from your Deck, in face-up Attack Position."
Mystical Beast of Serket,"If you do not control ""Temple of the Kings"", destroy this card. Banish any monster destroyed by battle with this card. If this card destroys a monster by battle: It gains 500 ATK."
Mystical Capture Chain,"A mystical chain that binds enemies, rendering them immobile."
Mystical Cards of Light,"You cannot use 1 of your Spell & Trap Card Zones. During your Draw Phase, if you control another ""Mystical Cards of Light"", you can draw 2 cards instead of 1 for your normal draw."
Mystical Elf,"A delicate elf that lacks offense, but has a terrific defense backed by mystical power."
Mystical Fairy Elfuria,"Once per turn: You can reveal 1 WIND monster in your hand; until your opponent's next End Phase, neither player can Xyz Summon using monsters with a different Level from the revealed monster as Xyz Materials."
Mystical Knight of Jackal,"When this card destroys 1 monster on your opponent's side of the field and sends it to your opponent's Graveyard as a result of battle, you can then return the card to the top of your opponent's Deck."
Mystical Moon,Equip only to a Beast-Warrior-Type monster. It gains 300 ATK and DEF.
Mystical Refpanel,Activate only when a Spell Card that targets 1 player is activated. The effect of that Spell Card is applied to the other player instead.
Mystical Sand,"""Giant Soldier of Stone"" + ""Ancient Elf"""
Mystical Sheep #1,"You can substitute this card for any 1 Fusion-Material Monster. When you do this, the other Fusion-Material Monster(s) must be the correct one(s)."
Mystical Sheep #2,A monstrous sheep with a long tail for hypnotizing enemies.
Mystical Shine Ball,"A soul of light covered by mystical shine. When you see its beautiful shape, your dream will come true."
Mystical Space Typhoon,Target 1 Spell/Trap on the field; destroy that target.
Mystical Wind Typhoon,Activate only as Chain Link 3 or higher. Destroy 1 Spell or Trap Card on the field. You cannot activate this card if multiple cards/effects with the same name are in the Chain.
Mystik Wok,Tribute 1 monster. Select either its ATK or DEF and gain that many Life Points.
Mystrick Hulder,"If this card is Normal or Special Summoned: You can discard 1 card; apply the following effect, depending on the type of card discarded.
●Monster: Add 1 Trap from your GY to your hand.
●Spell: Add 1 monster from your GY to your hand.
●Trap: Add 1 Spell from your GY to your hand.
You can only use this effect of ""Mystrick Hulder"" once per turn."
Mythic Depths,"[At the start of the Duel, place this card in your Field Zone and flip it over.]

All Fish, Sea Serpent, Thunder, and Aqua monsters on the field gain 200 ATK/DEF. All Machine and Pyro monsters on the field lose 200 ATK/DEF. This card's name becomes ""Umi"" while on the field."
Mythic Tree Dragon,Once per turn: You can target 1 WATER Dragon-Type monster you control; this card's Level becomes the current Level of that monster.
Mythic Water Dragon,"If you control an EARTH monster, you can Special Summon this card (from your hand). You can only Special Summon ""Mythic Water Dragon"" once per turn this way."
Mythical Beast Bashilisk,"[ Pendulum Effect ]
If you have no cards in your other Pendulum Zone: You can destroy this card, and if you do, shuffle 1 face-up Spellcaster Pendulum Monster from your Extra Deck into the Deck, except ""Mythical Beast Basilisk"", then draw 1 card. You can only use this effect of ""Mythical Beast Bashilisk"" once per turn.
----------------------------------------
[ Monster Effect ]
Each time a Spell Card is activated, place 1 Spell Counter on this card when that Spell resolves. You can remove 3 Spell Counters from your field; return 1 ""Mythical Beast"" card from your Pendulum Zone or face-up from your Extra Deck to the hand. You can only use this effect of ""Mythical Beast Bashilisk"" once per turn."
Mythical Beast Cerberus,"Each time a Spell Card is activated, place 1 Spell Counter on this card when that Spell Card resolves. This card gains 500 ATK for each Spell Counter on it. If damage calculation is conducted involving this card, remove all Spell Counters from it at the end of the Battle Phase."
Mythical Beast Garuda,"[ Pendulum Effect ]
If you have no cards in your other Pendulum Zone: You can target 1 other Spell/Trap on the field; destroy both it and this card. You can only use this effect of ""Mythical Beast Garuda"" once per turn.
----------------------------------------
[ Monster Effect ]
Each time a Spell Card is activated, place 1 Spell Counter on this card when that Spell resolves. When your opponent Normal or Special Summons a monster(s) (except during the Damage Step): You can remove 3 Spell Counters from your field; Special Summon this card from your hand, then return the opponent's Summoned monster(s) to the hand. You can only use this effect of ""Mythical Beast Garuda"" once per turn. "
Mythical Beast Jackal,"[ Pendulum Effect ]
If you have no cards in your other Pendulum Zone: You can target 1 card you control that you can place a Spell Counter on; destroy this card, and if you do, place 1 Spell Counter on that card. You can only use this effect of ""Mythical Beast Jackal"" once per turn.
----------------------------------------
[ Monster Effect ]
Each time a Spell Card is activated, place 1 Spell Counter on this card when that Spell resolves. You can remove 3 Spell Counters from your field and Tribute this card; Special Summon 1 ""Mythical Beast"" Effect Monster from your Deck, except ""Mythical Beast Jackal""."
Mythical Beast Jackal King,"[ Pendulum Effect ]
If you have no cards in your other Pendulum Zone: You can destroy this card, and if you do, Special Summon 1 face-up ""Mythical Beast"" Pendulum Monster from your Extra Deck, except ""Mythical Beast Jackal King"". You can only use this effect of ""Mythical Beast Jackal King"" once per turn.
----------------------------------------
[ Monster Effect ]
Each time a Spell is activated, place 2 Spell Counters on this card when that Spell resolves. Once per turn, when an opponent activates a monster effect (Quick Effect): You can remove 2 Spell Counters from your field; negate the activation, and if you do, destroy that card."
Mythical Beast Master Cerberus,"[ Pendulum Effect ]
If you have no cards in your other Pendulum Zone: You can destroy this card, and if you do, add 1 Level 7 or lower ""Mythical Beast"" Effect Monster from your Deck to your hand. You can only use this effect of ""Mythical Beast Master Cerberus"" once per turn.
----------------------------------------
[ Monster Effect ]
Each time a Spell Card is activated, place 2 Spell Counters on this card when that Spell resolves. Cannot be destroyed by card effects, while 4 or more Spell Counters are on your field. Once per turn: You can remove 4 Spell Counters from your field, then target 1 monster your opponent controls; banish it face-up, and if you do, this card gains ATK equal to the banished monster's original ATK until the end of the opponent's turn."
Mythical Beast Medusa,"[ Pendulum Effect ]
If you have no cards in your other Pendulum Zone: You can target 1 monster in your GY that you can place a Spell Counter on; destroy this card, and if you do, Special Summon that monster, and if you do that, place 1 Spell Counter on it. You can only use this effect of ""Mythical Beast Medusa"" once per turn.
----------------------------------------
[ Monster Effect ]
Each time a Spell Card is activated, place 1 Spell Counter on this card when that Spell resolves. Once per turn, during the Battle Phase (Quick Effect): You can remove 2 Spell Counters from your field, then target 1 face-up monster on the field; its ATK/DEF become half its current ATK/DEF until the end of this turn."
Mythical Bestiamorph,"Each time an opponent's monster effect is activated, place 1 Spell Counter on this card when that effect resolves. You can send this card with 6 or more Spell Counters on it to the GY; add 1 Spell from your Deck to your hand. You can only use this effect of ""Mythical Bestiamorph"" once per turn."
Mythical Bestiary,"Send the top 2 cards of your Deck to the GY, then target 1 card on the field that you can place a Spell Counter on; place up to 2 Spell Counters on it. If this card in its owner's possession is destroyed by an opponent's card effect: You can Special Summon 1 monster from your Deck that you can place a Spell Counter on, and if you do, place up to 2 Spell Counters on it. You can only activate 1 ""Mythical Bestiary"" per turn."
Mythical Institution,"Each time a face-up ""Mythical Beast"" Pendulum Monster Card(s) you control is destroyed by battle or card effect, place 2 Spell Counters on this card. Once per turn: You can remove any number of Spell Counters from your field; add 1 monster from your Deck or 1 face-up Pendulum Monster from your Extra Deck to your hand that you can place a Spell Counter on, whose Level is equal to the number of Spell Counters you removed. If this card on the field would be destroyed by a card effect, you can remove 1 Spell Counter from this card instead."
Nagel's Protection,"""Tindangle"" monsters in your Main Monster Zone cannot be destroyed by battle or your opponent's card effects. Once per turn, if your ""Tindangle"" monster inflicts battle damage to your opponent, the damage becomes doubled. You can banish this card from your GY and discard 1 ""Tindangle"" card; add 1 ""Nagel's Protection"" from your Deck to your hand. You can only use this effect of ""Nagel's Protection"" once per turn."
"Naglfar, Generaider Boss of Flames","You can only control 1 ""Naglfar, Generaider Boss of Flames"". If a card(s) you control would be destroyed by battle or card effect, you can destroy 1 ""Generaider"" monster or Beast-Warrior monster you control instead. You can only use this effect of ""Naglfar, Generaider Boss of Flames"" once per turn."
Nanana,Target 1 Level 7 or Rank 7 monster you control; it gains 700 ATK and DEF until the end of this turn.
Nanobreaker,"If this card attacks a face-up Level 3 or lower monster, destroy the monster immediately with this card's effect without applying damage calculation."
Narrow Pass,This card can only be activated when both players have 2 monsters or less on their respective sides of the field. Both players can only Normal Summon up to 2 additional monsters on their sides of the field.
Natural Disaster,"Inflict 500 damage to your opponent each time a card(s) they control is destroyed and sent to the Graveyard by the effect of a ""Cloudian"" monster."
Natural Tune,Select 1 face-up Level 4 or lower Normal Monster you control. It is treated as a Tuner monster while it is face-up on the field.
Nature's Reflection,"During this turn, any effect activated by your opponent that would inflict damage becomes an effect that inflicts damage to their Life Points."
Naturia Antjaw,"When your opponent Special Summons a monster(s), you can Special Summon 1 Level 3 or lower ""Naturia"" monster from your Deck."
Naturia Bamboo Shoot,"If this card is Tribute Summoned by Tributing a ""Naturia"" monster, while this card remains face-up on the field, your opponent cannot activate Spell or Trap Cards."
Naturia Barkion,"1 EARTH Tuner + 1 or more non-Tuner EARTH monsters 
During either player's turn, when a Trap Card is activated: You can banish 2 cards from your Graveyard; negate the activation, and if you do, destroy it. This card must be face-up on the field to activate and to resolve this effect."
Naturia Beans,"Once per turn, this card cannot be destroyed by battle. When this face-up card is selected as an attack target, inflict 500 damage to your opponent."
Naturia Beast,"1 EARTH Tuner + 1 or more non-Tuner EARTH monsters 
During either player's turn, when a Spell Card is activated: You can send the top 2 cards of your Deck to the Graveyard; negate the activation, and if you do, destroy it. This card must be face-up on the field to activate and to resolve this effect."
Naturia Beetle,Switch the original ATK and DEF of this card each time a Spell Card is activated.
Naturia Butterfly,"Once per turn, when your opponent's monster declares an attack, you can send the top card of your Deck to the Graveyard and negate that attack."
Naturia Cherries,"If this card is sent from the field to the Graveyard by your opponent's card (including by battle, card effect, or by being destroyed), you can Special Summon up to 2 ""Naturia Cherries"" from your Deck in face-down Defense Position."
Naturia Cliff,"When this card is sent from the field to the Graveyard, you can Special Summon 1 Level 4 or lower ""Naturia"" monster from your Deck to your side of the field in face-up Attack Position."
Naturia Cosmobeet,"When your opponent Normal Summons or Sets a monster, you can Special Summon this card from your hand."
Naturia Dragonfly,"This card cannot be destroyed by battle with a monster that has 2000 or more ATK. This card gains 200 ATK for each ""Naturia"" monster in your Graveyard."
Naturia Eggplant,"When this card is sent from the field to the Graveyard, you can select 1 ""Naturia"" monster in your Graveyard, except ""Naturia Eggplant"", and add it to your hand."
Naturia Exterio,"""Naturia Beast"" + ""Naturia Barkion""
A Fusion Summon of this card can only be conducted with the above Fusion Material Monsters. While this card is face-up on the field, you can negate the activation of a Spell/Trap Card, and destroy it, by removing from play 1 card from your Graveyard, then sending the top card of your Deck to the Graveyard."
Naturia Forest,"If you negate the activation of a card your opponent controls, you can add 1 Level 3 or lower ""Naturia"" monster from your Deck to your hand."
Naturia Fruitfly,"All face-up monsters your opponent controls lose 300 ATK and DEF for each face-up ""Naturia"" monster you control. Once per turn, you can select 1 face-up monster your opponent controls with 0 DEF, and take control of it until the End Phase."
Naturia Gaiastrio,"2 EARTH Synchro Monsters
During either player's turn, when a card or effect is activated that targets exactly 1 card on the field (and no other cards): You can send 1 card from your hand to the Graveyard; negate the activation, and if you do, destroy that card."
Naturia Guardian,"When your opponent Normal Summons a monster, this card gains 300 ATK until the End Phase."
Naturia Horneedle,"When your opponent Special Summons a monster, you can Tribute 1 face-up ""Naturia"" monster you control, except this card, to destroy the Special Summoned monster."
Naturia Hydrangea,"If the effect of a ""Naturia"" monster you control was activated during this turn, you can Special Summon this card from your hand."
Naturia Ladybug,"When you Synchro Summon a ""Naturia"" Synchro Monster, you can Special Summon this card from your Graveyard. During your Main Phase, you can Tribute this card to select 1 face-up ""Naturia"" monster you control. It gains 1000 ATK until the End Phase."
Naturia Landoise,"1 EARTH Tuner + 1 or more non-Tuner EARTH monsters
While this card is face-up on the field, you can send 1 Spell Card from your hand to the Graveyard to negate the activation of an Effect Monster's effect, and destroy that Effect Monster."
Naturia Leodrake,1 EARTH Tuner + 1 or more non-Tuner EARTH monsters
Naturia Mantis,"When your opponent Normal Summons a monster, you can send 1 ""Naturia"" monster from your hand to the Graveyard to destroy that monster."
Naturia Marron,"When this card is Normal Summoned: You can send 1 ""Naturia"" monster from your Deck to the Graveyard. Once per turn: You can target 2 ""Naturia"" monsters in your Graveyard; shuffle both those targets into the Deck, then draw 1 card."
Naturia Mosquito,"While you control another face-up ""Naturia"" monster(s), your opponent cannot select this card as an attack target. Your opponent takes any Battle Damage you would have taken from battles involving a face-up ""Naturia"" monster you control, except this card."
Naturia Pineapple,"All face-up monsters you control are treated as Plant-Type. During your Standby Phase, if you do not control a face-up ""Naturia Pineapple"", and have no monsters in your Graveyard except Plant or Beast-Type: You can Special Summon this card from your Graveyard. You must not control any Spell or Trap Cards to activate and resolve this effect."
Naturia Pumpkin,"When this card is Normal Summoned, if your opponent controls a monster, you can Special Summon 1 ""Naturia"" monster from your hand."
Naturia Ragweed,"When your opponent draws a card(s), except during the Draw Phase, you can send this face-up card you control to the Graveyard to draw 2 cards."
Naturia Rock,"When a Trap Card is activated, you can send the top card of your Deck to the Graveyard to Special Summon this card from your hand."
Naturia Rosewhip,Your opponent can only activate 1 Spell/Trap Card per turn.
Naturia Sacred Tree,"If this card is sent to the Graveyard: Add 1 ""Naturia"" card from your Deck to your hand, except ""Naturia Sacred Tree"". You can only use 1 of the following effects of ""Naturia Sacred Tree"" per turn, and only once that turn.
● You can Tribute 1 EARTH Insect-Type monster; Special Summon 1 Level 4 or lower EARTH Plant-Type monster from your Deck.
● You can Tribute 1 EARTH Plant-Type monster; Special Summon 1 Level 4 or lower EARTH Insect-Type monster from your Deck."
Naturia Spiderfang,"This card cannot declare an attack unless your opponent activated a Spell, Trap, Spell/Trap effect or Monster effect this turn."
Naturia Stag Beetle,"Once per turn, during the Battle Step or Damage Step of this card's attack, when your opponent activates a card or effect, you can select 1 ""Naturia"" monster in your Graveyard. Special Summon that monster from the Graveyard."
Naturia Stinkbug,"When a face-up ""Naturia"" monster you control is selected as an attack target, you can send this face-up card you control to the Graveyard to negate that attack and end the Battle Phase."
Naturia Strawberry,"Once per turn, when your opponent Normal or Special Summons a monster(s): Target 1 of those monsters; this card gains 100 ATK x the Level of that monster, until the End Phase."
Naturia Sunflower,"You can Tribute this card and 1 ""Naturia"" monster to negate the activation of an effect of an Effect Monster your opponent controls, and destroy it."
Naturia Tulip,"Each time your opponent activates a Spell or Trap Card, all face-up ""Naturia"" monster(s) you control gain 500 ATK until the End Phase."
Naturia Vein,"You can Tribute this card and 1 ""Naturia"" monster to negate the activation of your opponent's Spell or Trap Card, and destroy it."
Naturia White Oak,"When this card is targeted by an opponent's card effect, you can send this face-up card you control to the Graveyard to Special Summon 2 Level 4 or lower ""Naturia"" monsters from your Deck. They cannot declare an attack, and are destroyed during your End Phase."
Nebula Dragon,"You can reveal this card and 1 other Level 8 Dragon monster in your hand; Special Summon both in Defense Position, but negate their effects, also you cannot Normal or Special Summon monsters for the rest of this turn, except LIGHT or DARK Dragon monsters. You can banish this card from your GY, then target 1 Level 4 LIGHT or DARK Dragon monster in your GY; add it to your hand. You can only use each effect of ""Nebula Dragon"" once per turn."
Neck Hunter,A fiend that wields a mean sickle and fires devastating beams from its eyes.
Necklace of Command,"When a monster you control that's equipped with this card is destroyed by battle, and this card is sent to the Graveyard, you can either:
● Draw 1 card. OR
● Discard 1 random card from your opponent's hand."
Necro Defender,"During your Main Phase, you can remove from play this card from your Graveyard to select 1 monster you control. Until your opponent's next End Phase, that monster cannot be destroyed by battle, and you take no Battle Damage from battles involving it."
Necro Fleur,"If this card is destroyed by a card effect and sent to the Graveyard, you can Special Summon 1 ""Sorciere de Fleur"" from your Deck."
Necro Fusion,"Fusion Summon 1 Fusion Monster from your Extra Deck, by banishing Fusion Materials listed on it from your GY face-down, but it cannot attack this turn."
Necro Gardna,During your opponent's turn: You can banish this card from your Graveyard; negate the next attack this turn from a monster your opponent controls (this is a Quick Effect).
Necro Linker,"You can Tribute this card to select 1 ""Synchron"" Tuner monster in your Graveyard. Special Summon that monster. It cannot be used as a Synchro Material Monster during the turn it is Special Summoned by this effect."
Necroface,"If this card is Normal Summoned: Shuffle all banished cards into the Deck. This card gains 100 ATK for each card shuffled into the Main Deck by this effect. If this card is banished: Each player banishes 5 cards from the top of their Deck (or their entire Deck, if less than 5)."
Necroid Synchro,"Banish 1 Tuner and up to 2 non-Tuner monsters from your Graveyard, and if you do, Special Summon 1 ""Stardust"" Synchro Monster from your Extra Deck whose Level equals the total Levels of those banished monsters, but it has its effects negated. (This Special Summon is treated as a Synchro Summon.)"
Necrolancer the Time-lord,The one-eyed Necrolancer launches his onslaught from a dimensional ring that can appear out of thin air.
Necrovalley,"All ""Gravekeeper's"" monsters gain 500 ATK and DEF. Cards in the Graveyard cannot be banished. Negate any card effect that would move a card in the Graveyard to a different place. Negate any card effect that changes Types or Attributes in the Graveyard."
Necrovalley Temple,"While a ""Gravekeeper's"" monster(s) and ""Necrovalley"" are both on the field, monsters your opponent controls lose 500 ATK/DEF. Once per turn, during the Main Phase, if you control no card in your Field Zone: You can activate 1 ""Necrovalley"" directly from your hand or GY. If this card in your possession is destroyed by an opponent's effect and sent to your GY: You can Set 1 ""Necrovalley"" Spell/Trap directly from your Deck, except ""Necrovalley Temple""."
Necrovalley Throne,"Activate 1 of these effects.
●Add 1 ""Gravekeeper's"" monster from your Deck to your hand.
●Immediately after this effect resolves, Normal Summon 1 ""Gravekeeper's"" monster.
You can only activate 1 ""Necrovalley Throne"" per turn."
Necroworld Banshee,"""Zombie World"" in the Field Zone cannot be destroyed by card effects, also neither player can target it with card effects. (Quick Effect): You can banish this card from your field or GY; activate 1 ""Zombie World"" directly from your hand or Deck. You can only use this effect of ""Necroworld Banshee"" once per turn."
Needle Ball,FLIP: You can pay 2000 Life Points to inflict 1000 damage to your opponent.
Needle Burrower,"When this card destroys a monster and sends it to the Graveyard as a result of battle, inflict damage to your opponent's Life Points equal to the Level of the destroyed monster x 500 points."
Needle Ceiling,When there are 4 or more monsters on the field: Destroy all face-up monsters.
Needle Soldier,"If this card is used as a Synchro Material Monster for a Synchro Monster, during battle between that Synchro Monster and a Defense Position monster whose DEF is lower than the ATK of that Synchro Monster, inflict the difference as Battle Damage to your opponent."
Needle Sunfish,When this card is sent to the Graveyard: Target 1 face-up monster your opponent controls; that target loses 500 ATK.
Needle Token,"Special Summoned with the effect of ""Cactus Fighter""."
Needle Wall,"Once per turn, during your Standby Phase: Roll a six-sided die. Treat your opponent's Monster Card Zones as numbers 1-5, counting from your right, and destroy the monster that is in the same Monster Card Zone as the result. If the result is 6, roll again."
Needle Worm,FLIP: Send the top 5 cards of your opponent's Deck to the Graveyard.
Needlebug Nest,Send the top 5 cards of your Deck to the Graveyard.
Nefarious Archfiend Eater of Nefariousness,"You can only control 1 ""Nefarious Archfiend Eater of Nefariousness"". If you control a Spellcaster-Type monster, you can Special Summon this card (from your hand). Once per turn, during your opponent's End Phase, if this card is in your Graveyard: You can target 1 face-up monster you control; destroy it, and if you do, Special Summon this card."
Nega-Ton Corepanel,"Activate only if you control a face-up ""Koa'ki Meiru"" monster and have ""Iron Core of Koa'ki Meiru"" in your Graveyard. Negate the activation of an Effect Monster's effect, and destroy it."
Negate Attack,"When an opponent's monster declares an attack: Target the attacking monster; negate the attack, then end the Battle Phase."
Neko Mane King,"During your opponent's turn, when this card in your possession is sent to your Graveyard by an opponent's card effect: It becomes the End Phase of this turn."
